ID                                       0xb2ad
Delivery_person_ID                JAPRES20DEL03
Delivery_person_Age                   35.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   26.956431
Restaurant_longitude                  75.776649
Delivery_location_latitude            27.046431
Delivery_location_longitude           75.866649
Order_Date                           18-03-2022
Time_Orderd                               19:35
Time_Order_picked                         19:45
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 19323, dtype: object
