ID                                     0xbc40
Delivery_person_ID             CHENRES19DEL02
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 12.986047
Restaurant_longitude                80.218114
Delivery_location_latitude          13.006047
Delivery_location_longitude         80.238114
Order_Date                         21-03-2022
Time_Orderd                              8:45
Time_Order_picked                        8:50
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    24.000000
Name: 41866, dtype: object
