ID                                       0x62ad
Delivery_person_ID                SURRES08DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   21.173343
Restaurant_longitude                  72.792731
Delivery_location_latitude            21.213343
Delivery_location_longitude           72.832731
Order_Date                           17-03-2022
Time_Orderd                               13:30
Time_Order_picked                         13:35
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 7710, dtype: object
