ID                                       0xc502
Delivery_person_ID               AURGRES09DEL02
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   19.874103
Restaurant_longitude                  75.368419
Delivery_location_latitude            19.894103
Delivery_location_longitude           75.388419
Order_Date                           11-02-2022
Time_Orderd                               11:55
Time_Order_picked                         11:60
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 3405, dtype: object
