ID                                      0x5f5
Delivery_person_ID             INDORES11DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -22.751234
Restaurant_longitude                75.889490
Delivery_location_latitude          22.791234
Delivery_location_longitude         75.929490
Order_Date                         07-03-2022
Time_Orderd                               NaN
Time_Order_picked                       14:40
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 43265, dtype: object
