ID                                    0x70eb
Delivery_person_ID             MYSRES14DEL02
Delivery_person_Age                    28.00
Delivery_person_Ratings                 4.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.13
Delivery_location_longitude             0.13
Order_Date                        04-03-2022
Time_Orderd                            18:60
Time_Order_picked                      19:10
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     2.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       37.00
Name: 13488, dtype: object
