ID                                    0x94ce
Delivery_person_ID             HYDRES12DEL03
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                17.429585
Restaurant_longitude               78.392621
Delivery_location_latitude         17.519585
Delivery_location_longitude        78.482621
Order_Date                        04-03-2022
Time_Orderd                            19:60
Time_Order_picked                      20:15
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 35467, dtype: object
