ID                                     0x10eb
Delivery_person_ID             INDORES12DEL02
Delivery_person_Age                  22.00000
Delivery_person_Ratings               4.60000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.79806
Delivery_location_longitude          75.94340
Order_Date                         03-03-2022
Time_Orderd                             21:10
Time_Order_picked                       21:25
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                   1.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     25.00000
Name: 26840, dtype: object
