ID                                       0xbb17
Delivery_person_ID               SURRES010DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   21.171060
Restaurant_longitude                  72.789292
Delivery_location_latitude            21.251060
Delivery_location_longitude           72.869292
Order_Date                           20-03-2022
Time_Orderd                               23:35
Time_Order_picked                         23:50
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      19.000000
Name: 5772, dtype: object
