ID                                     0x9beb
Delivery_person_ID             MYSRES010DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 12.321214
Restaurant_longitude                76.621094
Delivery_location_latitude          12.431214
Delivery_location_longitude         76.731094
Order_Date                         12-03-2022
Time_Orderd                             19:10
Time_Order_picked                       19:20
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 31239, dtype: object
