ID                                        0x484
Delivery_person_ID                MUMRES07DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -19.091458
Restaurant_longitude                 -72.827808
Delivery_location_latitude            19.171458
Delivery_location_longitude           72.907808
Order_Date                           02-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:25
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 18106, dtype: object
