ID                                       0x36dc
Delivery_person_ID                MYSRES13DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.310972
Restaurant_longitude                  76.659264
Delivery_location_latitude            12.360972
Delivery_location_longitude           76.709264
Order_Date                           01-03-2022
Time_Orderd                               18:50
Time_Order_picked                         18:60
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 11097, dtype: object
