ID                                     0xd39a
Delivery_person_ID             AURGRES20DEL02
Delivery_person_Age                     21.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.02
Delivery_location_longitude              0.02
Order_Date                         13-02-2022
Time_Orderd                              9:15
Time_Order_picked                        9:25
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                                    Urban
Time_taken (min)                        11.00
Name: 19497, dtype: object
