ID                                    0x58ac
Delivery_person_ID             JAPRES15DEL03
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                26.891191
Restaurant_longitude               75.802083
Delivery_location_latitude         26.981191
Delivery_location_longitude        75.892083
Order_Date                        10-03-2022
Time_Orderd                            18:35
Time_Order_picked                      18:45
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 35525, dtype: object
