ID                                    0xcc49
Delivery_person_ID             KOLRES07DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                22.547186
Restaurant_longitude               88.350680
Delivery_location_latitude         22.587186
Delivery_location_longitude        88.390680
Order_Date                        13-02-2022
Time_Orderd                            14:10
Time_Order_picked                      14:15
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 31556, dtype: object
