ID                                    0xc4e1
Delivery_person_ID             ALHRES12DEL02
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                25.443994
Restaurant_longitude               81.860187
Delivery_location_latitude         25.463994
Delivery_location_longitude        81.880187
Order_Date                        11-02-2022
Time_Orderd                            11:10
Time_Order_picked                      11:15
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 44642, dtype: object
