ID                                    0xbdef
Delivery_person_ID             HYDRES09DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             3.400000
Restaurant_latitude                17.431668
Restaurant_longitude               78.408321
Delivery_location_latitude         17.561668
Delivery_location_longitude        78.538321
Order_Date                        04-03-2022
Time_Orderd                            22:35
Time_Order_picked                      22:50
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 7586, dtype: object
