ID                                     0x36fe
Delivery_person_ID             CHENRES04DEL02
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 13.029780
Restaurant_longitude                80.208812
Delivery_location_latitude          13.079780
Delivery_location_longitude         80.258812
Order_Date                         11-03-2022
Time_Orderd                             23:20
Time_Order_picked                       23:30
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 15258, dtype: object
