ID                                       0xdd4e
Delivery_person_ID                BHPRES06DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.232357
Restaurant_longitude                  77.429989
Delivery_location_latitude            23.252357
Delivery_location_longitude           77.449989
Order_Date                           13-02-2022
Time_Orderd                                8:15
Time_Order_picked                          8:25
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 24370, dtype: object
