ID                                    0xdee5
Delivery_person_ID             KNPRES15DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.482419
Restaurant_longitude               80.320939
Delivery_location_latitude         26.522419
Delivery_location_longitude        80.360939
Order_Date                        15-02-2022
Time_Orderd                            15:25
Time_Order_picked                      15:30
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   15.000000
Name: 11663, dtype: object
