ID                                      0xbcf3
Delivery_person_ID             COIMBRES09DEL03
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.400000
Restaurant_latitude                  11.008638
Restaurant_longitude                 76.984311
Delivery_location_latitude           11.068638
Delivery_location_longitude          77.044311
Order_Date                          11-03-2022
Time_Orderd                              19:55
Time_Order_picked                        20:05
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 17536, dtype: object
