ID                                    0xc7e1
Delivery_person_ID             ALHRES07DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                25.449659
Restaurant_longitude               81.839744
Delivery_location_latitude         25.579659
Delivery_location_longitude        81.969744
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:35
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   53.000000
Name: 35191, dtype: object
