ID                                    0xdffa
Delivery_person_ID             AGRRES13DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                27.159795
Restaurant_longitude               78.042990
Delivery_location_latitude         27.249795
Delivery_location_longitude        78.132990
Order_Date                        18-02-2022
Time_Orderd                            19:35
Time_Order_picked                      19:40
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 41143, dtype: object
