ID                                     0xbeed
Delivery_person_ID             BANGRES18DEL02
Delivery_person_Age                 23.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          12.963041
Delivery_location_longitude         77.733237
Order_Date                         07-03-2022
Time_Orderd                             19:40
Time_Order_picked                       19:50
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 7423, dtype: object
