ID                                    0xd5f3
Delivery_person_ID             DEHRES05DEL03
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                30.346994
Restaurant_longitude               78.062543
Delivery_location_latitude         30.486994
Delivery_location_longitude        78.202543
Order_Date                        16-02-2022
Time_Orderd                            19:55
Time_Order_picked                      19:60
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 6137, dtype: object
