ID                                    0xc11b
Delivery_person_ID             GOARES18DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                15.493950
Restaurant_longitude               73.827423
Delivery_location_latitude         15.623950
Delivery_location_longitude        73.957423
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:40
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   47.000000
Name: 35773, dtype: object
