ID                                       0x41ce
Delivery_person_ID               BANGRES17DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.972532
Restaurant_longitude                  77.608179
Delivery_location_latitude            13.042532
Delivery_location_longitude           77.678179
Order_Date                           29-03-2022
Time_Orderd                               23:60
Time_Order_picked                         24:15
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 28319, dtype: object
