ID                                       0xaeff
Delivery_person_ID                MUMRES02DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.221315
Restaurant_longitude                  72.862381
Delivery_location_latitude            19.301315
Delivery_location_longitude           72.942381
Order_Date                           25-03-2022
Time_Orderd                               22:50
Time_Order_picked                         23:05
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 7458, dtype: object
