ID                                    0xd0da
Delivery_person_ID             KNPRES05DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.479108
Restaurant_longitude               80.315042
Delivery_location_latitude         26.499108
Delivery_location_longitude        80.335042
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                       8:35
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   12.000000
Name: 39647, dtype: object
