ID                                       0x8ce
Delivery_person_ID             COIMBRES03DEL02
Delivery_person_Age                  25.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.025083
Restaurant_longitude                 77.015393
Delivery_location_latitude           11.045083
Delivery_location_longitude          77.035393
Order_Date                          05-04-2022
Time_Orderd                              11:10
Time_Order_picked                        11:25
Weather conditions                       Windy
Road_traffic_density                      High
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                       NaN
Time_taken (min)                     21.000000
Name: 13029, dtype: object
