ID                                       0xc705
Delivery_person_ID                AGRRES08DEL03
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   27.160934
Restaurant_longitude                  78.044095
Delivery_location_latitude            27.190934
Delivery_location_longitude           78.074095
Order_Date                           15-02-2022
Time_Orderd                               23:45
Time_Order_picked                         23:60
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      10.000000
Name: 31823, dtype: object
