ID                                      0xde41
Delivery_person_ID             AURGRES010DEL02
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  19.875337
Restaurant_longitude                 75.316722
Delivery_location_latitude           19.895337
Delivery_location_longitude          75.336722
Order_Date                          11-02-2022
Time_Orderd                               8:40
Time_Order_picked                         8:50
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     25.000000
Name: 7136, dtype: object
