ID                                      0xb35
Delivery_person_ID             INDORES19DEL03
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 22.745536
Restaurant_longitude                75.893106
Delivery_location_latitude          22.805536
Delivery_location_longitude         75.953106
Order_Date                         24-03-2022
Time_Orderd                             18:40
Time_Order_picked                       18:50
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 22442, dtype: object
