ID                                    0xb3a8
Delivery_person_ID             HYDRES14DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                17.426228
Restaurant_longitude               78.407495
Delivery_location_latitude         17.476228
Delivery_location_longitude        78.457495
Order_Date                        01-03-2022
Time_Orderd                            19:25
Time_Order_picked                      19:30
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   46.000000
Name: 29263, dtype: object
