ID                                       0xa8db
Delivery_person_ID             RANCHIRES12DEL03
Delivery_person_Age                       33.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           25-03-2022
Time_Orderd                               18:25
Time_Order_picked                         18:40
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                        3.00
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                          47.00
Name: 14345, dtype: object
