ID                                    0xacfd
Delivery_person_ID             HYDRES05DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                17.433809
Restaurant_longitude               78.386744
Delivery_location_latitude         17.453809
Delivery_location_longitude        78.406744
Order_Date                        19-03-2022
Time_Orderd                             8:25
Time_Order_picked                       8:35
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   28.000000
Name: 42446, dtype: object
