ID                                      0xad3c
Delivery_person_ID             COIMBRES04DEL01
Delivery_person_Age                  31.000000
Delivery_person_Ratings               3.700000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.134839
Delivery_location_longitude          77.117003
Order_Date                          02-03-2022
Time_Orderd                              18:15
Time_Order_picked                        18:30
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 235, dtype: object
