ID                                        0x58d
Delivery_person_ID                MUMRES18DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -19.109300
Restaurant_longitude                  72.825451
Delivery_location_latitude            19.139300
Delivery_location_longitude           72.855451
Order_Date                           09-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:40
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 20507, dtype: object
