ID                                       0x7e81
Delivery_person_ID                HYDRES05DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   17.433809
Restaurant_longitude                  78.386744
Delivery_location_latitude            17.493809
Delivery_location_longitude           78.446744
Order_Date                           03-04-2022
Time_Orderd                               19:35
Time_Order_picked                         19:45
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 34723, dtype: object
