ID                                       0x6f8f
Delivery_person_ID               MYSRES010DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.321214
Restaurant_longitude                  76.621094
Delivery_location_latitude            12.341214
Delivery_location_longitude           76.641094
Order_Date                           09-03-2022
Time_Orderd                               11:10
Time_Order_picked                         11:20
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 39564, dtype: object
