ID                                       0x15d0
Delivery_person_ID             RANCHIRES14DEL01
Delivery_person_Age                       24.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.11
Delivery_location_longitude                0.11
Order_Date                           29-03-2022
Time_Orderd                               19:20
Time_Order_picked                         19:35
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        0.00
Festival                                     No
City                                 Semi-Urban
Time_taken (min)                          47.00
Name: 15134, dtype: object
