ID                                       0x29ac
Delivery_person_ID              COIMBRES02DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   11.022477
Restaurant_longitude                  76.995667
Delivery_location_latitude            11.092477
Delivery_location_longitude           77.065667
Order_Date                           25-03-2022
Time_Orderd                               21:40
Time_Order_picked                         21:55
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      38.000000
Name: 22244, dtype: object
