ID                                     0xc75d
Delivery_person_ID             AURGRES18DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 19.888716
Restaurant_longitude                75.321461
Delivery_location_latitude          19.938716
Delivery_location_longitude         75.371461
Order_Date                         15-02-2022
Time_Orderd                             22:40
Time_Order_picked                       22:55
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    22.000000
Name: 1942, dtype: object
