ID                                     0xca87
Delivery_person_ID             KOLRES010DEL01
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.538999
Restaurant_longitude                88.322337
Delivery_location_latitude          22.548999
Delivery_location_longitude         88.332337
Order_Date                         11-02-2022
Time_Orderd                             11:10
Time_Order_picked                       11:25
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 660, dtype: object
