ID                                     0x9aab
Delivery_person_ID             MUMRES010DEL03
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 19.003517
Restaurant_longitude                72.827650
Delivery_location_latitude          19.033517
Delivery_location_longitude         72.857650
Order_Date                         11-03-2022
Time_Orderd                             19:55
Time_Order_picked                       19:60
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    39.000000
Name: 42618, dtype: object
