ID                                      0xddc
Delivery_person_ID             INDORES06DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 22.728163
Restaurant_longitude                75.884212
Delivery_location_latitude          22.748163
Delivery_location_longitude         75.904212
Order_Date                         03-04-2022
Time_Orderd                               NaN
Time_Order_picked                        8:25
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    10.000000
Name: 6629, dtype: object
