ID                                    0xa7bb
Delivery_person_ID             MUMRES20DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                19.103249
Restaurant_longitude               72.846749
Delivery_location_latitude         19.213249
Delivery_location_longitude        72.956749
Order_Date                        02-04-2022
Time_Orderd                            23:30
Time_Order_picked                      23:40
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   24.000000
Name: 14998, dtype: object
