ID                                    0xd2bc
Delivery_person_ID             DEHRES13DEL01
Delivery_person_Age                32.000000
Delivery_person_Ratings             3.900000
Restaurant_latitude                30.366322
Restaurant_longitude               78.070453
Delivery_location_latitude         30.476322
Delivery_location_longitude        78.180453
Order_Date                        14-02-2022
Time_Orderd                            20:60
Time_Order_picked                      21:10
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   43.000000
Name: 15222, dtype: object
