ID                                     0x6fca
Delivery_person_ID             PUNERES02DEL02
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 18.551440
Restaurant_longitude                73.804855
Delivery_location_latitude          18.571440
Delivery_location_longitude         73.824855
Order_Date                         21-03-2022
Time_Orderd                              9:20
Time_Order_picked                        9:30
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 22800, dtype: object
