ID                                       0xddf0
Delivery_person_ID                KOLRES03DEL01
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   22.526461
Restaurant_longitude                  88.364453
Delivery_location_latitude            22.566461
Delivery_location_longitude           88.404453
Order_Date                           11-02-2022
Time_Orderd                               13:50
Time_Order_picked                         13:60
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 13080, dtype: object
