ID                                    0xdab2
Delivery_person_ID             AGRRES12DEL02
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                27.165108
Restaurant_longitude               78.015053
Delivery_location_latitude         27.185108
Delivery_location_longitude        78.035053
Order_Date                        11-02-2022
Time_Orderd                            10:45
Time_Order_picked                      10:50
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 31709, dtype: object
