ID                                        0xe51
Delivery_person_ID                HYDRES08DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   17.438263
Restaurant_longitude                  78.397865
Delivery_location_latitude            17.458263
Delivery_location_longitude           78.417865
Order_Date                           03-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         11:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 28202, dtype: object
