ID                                       0x5a6e
Delivery_person_ID                HYDRES08DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   17.438263
Restaurant_longitude                  78.397865
Delivery_location_latitude            17.508263
Delivery_location_longitude           78.467865
Order_Date                           14-03-2022
Time_Orderd                               23:10
Time_Order_picked                         23:20
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 28142, dtype: object
