ID                                       0x6efb
Delivery_person_ID             RANCHIRES13DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                3.500000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.444989
Delivery_location_longitude           85.405486
Order_Date                           06-04-2022
Time_Orderd                               22:50
Time_Order_picked                         22:60
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 23119, dtype: object
