ID                                     0xcf9a
Delivery_person_ID             AURGRES05DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 19.875522
Restaurant_longitude                75.367127
Delivery_location_latitude          19.915522
Delivery_location_longitude         75.407127
Order_Date                         15-02-2022
Time_Orderd                             13:15
Time_Order_picked                       13:25
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 29258, dtype: object
