ID                                      0x34df
Delivery_person_ID             COIMBRES12DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.400000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.110762
Delivery_location_longitude          77.091876
Order_Date                          02-04-2022
Time_Orderd                              22:30
Time_Order_picked                        22:40
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     39.000000
Name: 15533, dtype: object
