ID                                    0xdd0f
Delivery_person_ID             GOARES06DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                15.561550
Restaurant_longitude               73.749092
Delivery_location_latitude         15.571550
Delivery_location_longitude        73.759092
Order_Date                        13-02-2022
Time_Orderd                             9:30
Time_Order_picked                       9:45
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   16.000000
Name: 45497, dtype: object
