ID                                        0x9edc
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    21.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.434422
Delivery_location_longitude            85.412900
Order_Date                            04-03-2022
Time_Orderd                                17:50
Time_Order_picked                          17:60
Weather conditions                         Windy
Road_traffic_density                      Medium
Vehicle_condition                              1
Type_of_order                             Buffet
Type_of_vehicle                          scooter
multiple_deliveries                          NaN
Festival                                      No
City                               Metropolitian
Time_taken (min)                       24.000000
Name: 17405, dtype: object
