ID                                      0x8e9f
Delivery_person_ID             COIMBRES17DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.066117
Delivery_location_longitude          76.984652
Order_Date                          28-03-2022
Time_Orderd                              13:20
Time_Order_picked                        13:25
Weather conditions                         Fog
Road_traffic_density                      High
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     31.000000
Name: 6882, dtype: object
