ID                                    0xa9b1
Delivery_person_ID             HYDRES05DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                17.433809
Restaurant_longitude               78.386744
Delivery_location_latitude         17.473809
Delivery_location_longitude        78.426744
Order_Date                        19-03-2022
Time_Orderd                            16:60
Time_Order_picked                      17:05
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 4624, dtype: object
