ID                                    0xbfa0
Delivery_person_ID             AGRRES13DEL03
Delivery_person_Age                30.000000
Delivery_person_Ratings                  NaN
Restaurant_latitude                27.159795
Restaurant_longitude               78.042990
Delivery_location_latitude         27.299795
Delivery_location_longitude        78.182990
Order_Date                        16-02-2022
Time_Orderd                            17:60
Time_Order_picked                      18:10
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 28353, dtype: object
