ID                                       0x662a
Delivery_person_ID               CHENRES16DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   13.049645
Restaurant_longitude                  80.242268
Delivery_location_latitude            13.059645
Delivery_location_longitude           80.252268
Order_Date                           11-03-2022
Time_Orderd                               10:25
Time_Order_picked                         10:35
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 5764, dtype: object
