ID                                    0xd01c
Delivery_person_ID             ALHRES17DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                25.452350
Restaurant_longitude               81.841889
Delivery_location_latitude         25.532350
Delivery_location_longitude        81.921889
Order_Date                        12-02-2022
Time_Orderd                            22:30
Time_Order_picked                      22:35
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 26864, dtype: object
