ID                                    0x69bc
Delivery_person_ID             MYSRES16DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                12.316967
Restaurant_longitude               76.603067
Delivery_location_latitude         12.356967
Delivery_location_longitude        76.643067
Order_Date                        03-04-2022
Time_Orderd                            14:35
Time_Order_picked                      14:40
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 12798, dtype: object
